song_name,uri,acousticness,danceability,energy,loudness,valence,speechiness,artist,album
Music For a Sushi Restaurant,spotify:track:5LYMamLv12UPbemOaTPyeV,0.258,0.72,0.715,-4.652,0.357,0.04,Harry Styles,Harry's House
Late Night Talking,spotify:track:1qEmFfgcLObUfQm0j1W2CK,0.298,0.714,0.728,-4.595,0.901,0.0468,Harry Styles,Harry's House
Grapejuice,spotify:track:4j6kId9QIqhoXvqHKgSKa0,0.357,0.645,0.721,-4.394,0.88,0.0336,Harry Styles,Harry's House
As It Was,spotify:track:4Dvkj6JhhA12EX05fT7y2e,0.342,0.52,0.731,-5.338,0.662,0.0557,Harry Styles,Harry's House
Daylight,spotify:track:51Zw1cKDgkad0CXv23HCMU,0.484,0.686,0.445,-7.189,0.626,0.0398,Harry Styles,Harry's House
Little Freak,spotify:track:3i058E8uxTsYqJ5NWZzqSj,0.719,0.559,0.535,-7.723,0.402,0.039,Harry Styles,Harry's House
Matilda,spotify:track:6uvh0In7u1Xn4HgxOfAn8O,0.896,0.507,0.294,-10.0,0.386,0.04,Harry Styles,Harry's House
Cinema,spotify:track:35TyJIMR3xRouUuo2sjS6v,0.354,0.829,0.644,-7.696,0.896,0.0427,Harry Styles,Harry's House
Daydreaming,spotify:track:69w5X6uTrOaWM32IetSzvO,0.311,0.707,0.811,-5.298,0.899,0.0304,Harry Styles,Harry's House
Keep Driving,spotify:track:2NcQic8JxdjAlAHuNbOIRE,0.321,0.721,0.479,-9.669,0.902,0.226,Harry Styles,Harry's House
Satellite,spotify:track:0rzaRSujxA0bKyjJl6vHYq,0.143,0.576,0.457,-6.473,0.301,0.0304,Harry Styles,Harry's House
Boyfriends,spotify:track:6qj02zSeEJGWZ4c0dn5QzJ,0.935,0.417,0.202,-10.976,0.323,0.0357,Harry Styles,Harry's House
Love Of My Life,spotify:track:1mw0RgNXIpYRyyCdBQbLgA,0.669,0.555,0.536,-8.233,0.203,0.0452,Harry Styles,Harry's House
